x, y
-5.5552, 1.415470298540135E-9
-5.553, 7.051574059340508E-8
-5.55, 3.9990794137016504E-5
-5.549, 1.2006912746963782E-4
-5.548, 2.940506485810026E-4
-5.103, 0.03839688760804066
-5.09, 0.03534932028001718
-5.068, 0.03087413246419398
-4.405, 0.08588842094979782
-4.294, 0.17812271845596397
-4.274, 0.20175803295292777
-4.255, 0.2264296703714255
-3.909, 1.500042989373909
-3.908, 1.548096125777753
-3.907, 1.599564532083857
-2.3088, 9.407366175350038E-5
-2.3073, 4.918225888834559E-5
-2.3056, 2.2187704238579473E-5
-1.9606, 0.0017668994201023287
-1.959, 0.0017646974284075984
-1.9568, 0.0017619646407700943
-1.1116, 0.44561634932307637
-1.1081, 0.45274833124890196
-1.1052, 0.4586898796709888
-0.7476, 1.094075150766237
-0.7438, 1.1278058593573586
-0.7397, 1.1754554555553567
0.818, 0.047850744541264645
1.0, NaN
1.355, 0.1094306647288273
